Id,Predicted
0,62.560608
1,35.273743
2,73.7952
3,52.605705
4,45.216866
5,26.977695
6,30.764172
7,40.587975
8,25.383324
9,42.689945
10,57.75383
11,34.07689
12,41.16809
13,31.89535
14,30.03519
15,17.735226
16,35.089577
17,31.36106
18,73.986565
19,53.288654
20,65.39161
21,23.878094
22,16.92017
23,24.403576
24,27.334162
25,17.371344
26,57.28869
27,26.626272
28,61.912716
29,66.076904
30,38.055515
31,72.62939
32,24.368923
33,47.896324
34,25.454756
35,36.930973
36,27.281378
37,32.06056
38,25.321146
39,35.23294
40,13.097369
41,16.920658
42,15.366869
43,37.755474
44,40.57671
45,46.632935
46,32.221565
47,28.729143
48,73.61263
49,35.890663
50,48.189037
51,78.63507
52,31.050997
53,30.241217
54,59.336548
55,68.77341
56,45.001514
57,8.524354
58,27.518373
59,13.680461
60,34.00961
61,30.85463
62,52.72866
63,40.152298
64,22.173515
65,29.794935
66,21.035324
67,59.717087
68,26.716593
69,58.59517
70,9.722299
71,51.708572
72,23.452524
73,55.819145
74,21.503357
75,10.464179
76,54.952877
77,31.664318
78,38.98037
79,27.514614
80,50.736122
81,40.559284
82,42.562817
83,30.993187
84,14.77051
85,19.549067
86,14.237914
87,32.332516
88,52.330105
89,62.560608
90,21.681105
91,34.52117
92,12.732199
93,25.293379
94,25.309412
95,31.872097
96,10.800241
97,33.390434
98,33.303715
99,36.465546
100,68.28073
101,34.535477
102,15.862778
103,70.936455
104,19.500797
105,15.294477
106,41.710045
107,7.8559184
108,34.83835
109,56.49692
110,53.34314
111,28.546467
112,52.856346
113,73.52951
114,28.232052
115,34.160553
116,63.52551
117,57.297054
118,41.84429
119,36.40542
120,71.25356
121,32.107166
122,18.526728
123,41.898273
124,76.53959
125,36.202816
126,25.790035
127,55.68002
128,44.428894
129,44.327938
130,27.535812
131,22.136772
132,29.895216
133,38.032795
134,31.038582
135,47.64447
136,51.206364
137,26.430304
138,35.27386
139,72.140335
140,63.148163
141,31.88561
142,39.074158
143,40.513134
144,16.607084
145,33.335884
146,15.491481
147,28.808365
148,32.33559
149,27.734629
150,62.288868
151,13.977201
152,46.937454
153,58.774216
154,69.45051
155,16.912523
156,36.082867
157,37.04901
158,32.991493
159,51.617447
160,27.190866
161,54.444218
162,69.11649
163,35.02146
164,43.6568
165,18.659748
166,17.320808
167,37.111187
168,32.02999
169,29.003923
170,55.667503
171,36.42551
172,12.443817
173,8.89144
174,25.30507
175,28.881876
176,16.749567
177,48.04897
178,16.645811
179,31.782185
180,10.508098
181,59.158703
182,44.66859
183,33.81609
184,50.857918
185,27.805532
186,21.578957
187,42.964226
188,59.53651
189,27.88908
190,20.564116
191,27.419174
192,40.896137
193,42.078987
194,31.713772
195,28.78642
196,38.292995
197,12.9935
198,26.17395
199,52.406265
200,55.646053
201,56.976917
202,10.40717
203,13.017467
204,31.760878
205,56.498627
206,59.818558
207,8.5971365
208,36.033333
209,40.21464
210,51.100193
211,23.022058
212,6.7781887
213,43.77542
214,44.098305
215,15.494924
216,36.62397
217,22.834412
218,42.38699
219,12.077904
220,48.342278
221,46.342926
222,8.858615
223,52.340652
224,36.54365
225,31.71022
226,12.433495
227,40.815666
228,41.93483
229,43.888706
230,31.700666
231,75.09039
232,28.85284
233,53.380775
234,30.789192
235,20.822968
236,39.51213
237,32.225822
238,34.848335
239,22.520239
240,30.879128
241,46.636936
242,61.99803
243,44.36742
244,31.4639
245,41.797092
246,28.010576
247,57.511837
248,45.85679
249,37.584255
250,22.240377
251,57.28869
252,49.350887
253,11.938184
254,35.22313
255,5.4152355
256,52.031944
257,11.225178
258,78.63507
259,12.09467
260,17.826105
261,18.375013
262,32.831356
263,70.34765
264,22.965647
265,31.980442
266,45.531075
267,27.73988
268,43.0087
269,28.42321
270,39.02156
271,44.69352
272,8.720107
273,14.326816
274,32.960278
275,6.0369163
276,14.760149
277,19.546936
278,36.033775
279,27.618132
280,25.574493
281,11.440003
282,14.738072
283,26.415758
284,41.571377
285,19.018562
286,31.872097
287,51.221413
288,41.11373
289,12.443951
290,66.29634
291,42.782784
292,28.822773
293,13.764114
294,32.52444
295,22.030827
296,27.002914
297,30.478525
298,20.679539
299,65.65334
300,55.48435
301,52.00509
302,47.25695
303,46.826
304,73.97469
305,6.1062765
306,36.477
307,16.267212
308,17.89349
309,72.02522
310,33.749504
311,20.212269
312,31.352005
